Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
344,Marcus Morris\morrima03,SF-PF,30,TOT,55,55,1727,9.1,21,0.433,3.7,9.1,0.41,5.4,11.9,0.451,4.8,5.9,0.823,1.5,6.3,7.9,2.2,1.2,0.8,2.5,4.5,26.8,,111,113
345,Markieff Morris\morrima02,PF,30,TOT,52,16,1106,8.4,18.8,0.445,3.6,9.3,0.386,4.8,9.5,0.502,2.9,3.7,0.783,1.5,7.3,8.8,3.3,1.2,0.7,3.3,5.3,23.2,,104,113
346,Monte Morris\morrimo01,PG,24,DEN,65,8,1402,7.8,17,0.459,1.9,5.1,0.375,5.9,12,0.494,1.8,2.2,0.823,0.7,3.2,3.9,8.1,1.9,0.6,1.6,2.3,19.3,,117,112
347,Johnathan Motley\motlejo01,PF,24,LAC,13,0,41,12.6,17.2,0.733,1.1,1.1,1,11.5,16.1,0.714,5.7,8,0.714,3.4,8,11.5,9.2,3.4,0,5.7,6.9,32.2,,131,103
348,Emmanuel Mudiay\mudiaem01,PG,23,UTA,48,1,752,8.8,18.7,0.471,1.8,4.9,0.355,7.1,13.8,0.512,3.4,4.5,0.754,1.1,6.4,7.5,6.9,1.2,0.6,4.2,4.1,22.8,,105,110
349,Mychal Mulder\muldemy01,SG,25,GSW,7,3,204,6.1,15.7,0.388,3.8,12.2,0.308,2.3,3.5,0.667,2.1,2.8,0.75,0.7,4.7,5.4,1.9,0.5,0.2,1.2,4.7,18.1,,104,118
350,Dejounte Murray\murrade01,PG,23,SAS,58,50,1447,8.5,17.8,0.475,1.1,3,0.378,7.3,14.8,0.494,2.5,3.1,0.798,2.2,8.9,11.1,7.9,3.3,0.5,3.6,4.2,20.5,,107,109
351,Jamal Murray\murraja01,PG,22,DEN,55,55,1804,10.5,23.2,0.455,2.9,8.3,0.345,7.7,14.8,0.517,4.3,4.8,0.893,1.1,4.8,5.9,7.3,1.8,0.4,3.4,2.7,28.3,,111,111
352,Džanan Musa\musadz01,SF,20,BRK,35,0,404,5.9,16.3,0.36,1.8,7.6,0.231,4.1,8.7,0.473,3.9,5.2,0.75,2.2,6.1,8.3,3.6,1.5,0.1,3.4,2.9,17.4,,93,110
353,Mike Muscala\muscami01,C,28,OKC,41,0,492,6.3,15.7,0.403,4.3,11.9,0.358,2.1,3.9,0.538,1.8,2.2,0.818,1.3,8,9.3,3.4,0.8,1.1,1.4,5,18.7,,113,110
354,Sviatoslav Mykhailiuk\mykhasv01,SF,22,DET,56,27,1265,6.5,15.7,0.41,4.5,11.1,0.404,2,4.7,0.425,2.2,2.7,0.814,0.7,3.4,4,4.1,1.6,0.2,2.4,3.4,19.6,,110,116
355,Abdel Nader\naderab01,SF,26,OKC,48,5,756,6.4,14.2,0.455,2.5,6.8,0.371,3.9,7.4,0.53,3.1,4,0.774,0.9,4.9,5.8,2.3,1.3,1.3,2.3,4.2,18.5,,107,111
356,Larry Nance Jr.\nancela02,C,27,CLE,56,10,1472,7.6,14.2,0.531,1.9,5.3,0.352,5.7,9,0.636,1.7,2.4,0.676,3.5,10,13.5,4.1,1.9,0.7,2,3,18.6,,122,113
357,Shabazz Napier\napiesh01,PG,28,TOT,51,30,1234,6.4,15.6,0.412,2.7,8.4,0.32,3.7,7.2,0.518,4.4,5.3,0.823,0.9,4.6,5.5,9.5,2.5,0.3,4.2,3.5,19.9,,109,114
358,Raul Neto\netora01,PG,27,PHI,49,3,565,6.8,15,0.451,2.4,6.1,0.394,4.4,8.9,0.49,2.2,2.7,0.839,0.9,3.5,4.5,6.6,1.9,0.4,3.6,3.7,18.2,,106,110
359,Malik Newman\newmama01,SG,22,CLE,1,0,4,0,24.3,0,0,12.2,0,0,12.2,0,24.3,24.3,1,0,0,0,0,0,0,12.2,0,24.3,,58,123
360,Georges Niang\niangge01,PF,26,UTA,58,0,772,7.6,16.7,0.453,4.9,11.7,0.416,2.7,5.1,0.538,1.2,1.4,0.864,0.8,6.1,6.9,2.2,0.8,0.3,1.6,4,21.2,,116,112
361,Nerlens Noel\noelne01,C,25,OKC,55,6,1014,8.4,12.2,0.685,0,0.1,0.333,8.3,12.1,0.689,3.6,4.7,0.765,3.9,9.1,13,2.5,2.7,3.9,2.6,6.9,20.4,,130,102
362,Zach Norvell\norveza01,SG,22,TOT,5,0,41,3.5,14,0.25,3.5,9.3,0.375,0,4.7,0,1.2,1.2,1,0,7,7,3.5,2.3,0,3.5,4.7,11.7,,74,112
363,Jaylen Nowell\nowelja01,SG,20,MIN,15,0,151,5.8,16.3,0.358,0.9,8,0.115,4.9,8.3,0.593,4.9,5.2,0.941,0.9,3.1,4,5.8,0.9,0.3,0.9,3.4,17.5,,109,117
364,Frank Ntilikina\ntilila01,PG,21,NYK,57,26,1187,5.4,13.7,0.393,1.8,5.6,0.321,3.6,8,0.444,2.1,2.4,0.864,0.9,4,5,7.1,2.2,0.7,2.9,5.8,14.6,,103,113
365,Kendrick Nunn\nunnke01,SG,24,MIA,62,62,1846,10.1,22.5,0.448,3.5,9.6,0.362,6.6,12.9,0.512,2,2.4,0.837,0.5,3.9,4.5,5.6,1.4,0.3,2.7,3.8,25.7,,106,113
366,David Nwaba\nwabada01,SF,27,BRK,20,0,268,6.6,12.6,0.521,2.1,5,0.429,4.4,7.6,0.581,3.2,4.8,0.667,1.4,6.6,8,1.4,1.9,2.1,1.4,5.7,18.4,,120,106
367,Royce O'Neale\onealro01,PF,26,UTA,64,55,1862,3.7,8.4,0.439,2.1,5.5,0.389,1.5,2.9,0.536,0.9,1.3,0.735,0.6,8.3,8.9,4.3,1.2,0.7,1.3,4.7,10.5,,119,109
368,Kyle O'Quinn\oquinky01,C,29,PHI,26,1,258,6.6,13.6,0.486,1.3,4.3,0.304,5.3,9.2,0.571,1.9,3.6,0.526,6,12.4,18.5,6.6,0.9,4.1,3.4,6.6,16.4,,113,103
369,Semi Ojeleye\ojelese01,PF,25,BOS,61,5,891,3.5,8.6,0.409,2,5.3,0.367,1.6,3.3,0.475,1.4,1.5,0.893,1.3,5.4,6.7,1.7,1,0.3,0.7,3.4,10.4,,119,111
370,Jahlil Okafor\okafoja01,C,24,NOP,28,9,424,9.6,15.7,0.611,0.1,0.2,0.5,9.5,15.5,0.613,4,6.3,0.638,5,8,13,3.9,0.8,2.1,3.9,6.9,23.3,,116,111
371,Elie Okobo\okoboel01,PG,22,PHO,54,3,707,4.8,12.1,0.398,1.7,4.8,0.352,3.1,7.4,0.427,3.1,4.5,0.687,1.1,4.8,5.9,7.6,1.6,0.3,2.5,3.5,14.4,,107,113
