Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
413,Glenn Robinson III\robingl02,SF,26,TOT,60,52,1743,7.7,15.9,0.486,2,5.3,0.387,5.7,10.6,0.535,2,2.3,0.867,2.1,5,7.2,2.6,1.5,0.4,1.5,2.7,19.5,,114,115
414,Jerome Robinson\robinje01,SG,22,TOT,55,4,748,4.7,13.6,0.347,1.9,6.5,0.298,2.8,7,0.393,1.3,1.8,0.69,0.6,6.1,6.7,4.1,1.4,0.9,2.1,5.2,12.6,,91,111
415,Justin Robinson\robinju01,PG,22,WAS,9,0,49,4.8,11.4,0.417,2.9,4.8,0.6,1.9,6.7,0.286,0,0,,1,3.8,4.8,6.7,0,1,2.9,1.9,12.4,,105,121
416,Mitchell Robinson\robinmi01,C,21,NYK,61,7,1412,8.7,11.8,0.742,0,0,,8.7,11.8,0.742,2.9,5.1,0.568,6.4,8.3,14.8,1.2,1.8,4.1,1.3,6.7,20.3,,144,107
417,Isaiah Roby\robyis01,SF,21,OKC,3,0,11,0,4.4,0,0,0,,0,4.4,0,0,0,,0,8.9,8.9,0,0,0,4.4,4.4,0,,0,113
418,Rajon Rondo\rondora01,PG,33,LAL,48,3,984,6.6,15.9,0.418,2,6,0.328,4.6,9.8,0.473,1.3,2,0.659,1.1,5.8,6.9,11.6,1.9,0.1,4.4,2.8,16.5,,103,108
419,Derrick Rose\rosede01,PG,31,DET,50,15,1298,14,28.5,0.49,1.7,5.6,0.306,12.3,23,0.535,4.6,5.3,0.871,1,3.6,4.6,10.5,1.5,0.6,4.8,1.9,34.3,,109,115
420,Terrence Ross\rosste01,SG,28,ORL,63,0,1723,9,22,0.407,4.6,12.9,0.357,4.4,9.2,0.477,3.9,4.6,0.845,0.4,5.4,5.8,2.1,2,0.6,1.8,2.7,26.3,,106,110
421,Terry Rozier\roziete01,PG,25,CHO,63,63,2164,9.2,21.8,0.423,4,9.8,0.407,5.2,12,0.436,3.8,4.4,0.874,1.2,5.2,6.4,6,1.4,0.2,3.3,2.9,26.3,,108,115
422,Ricky Rubio\rubiori01,PG,29,PHO,57,57,1802,6.6,16.1,0.412,1.7,4.9,0.351,4.9,11.1,0.44,4.6,5.4,0.853,1.1,5.9,7,13.3,2.3,0.2,4.1,3.8,19.5,,112,111
423,D'Angelo Russell\russeda01,PG,23,TOT,45,45,1452,11.8,27.7,0.426,5.2,14.1,0.367,6.6,13.6,0.487,5.3,6.5,0.809,0.6,5.2,5.8,9.3,1.6,0.4,4.8,2.8,34,,106,115
424,Domantas Sabonis\sabondo01,C,23,IND,62,62,2159,10.3,19.1,0.54,0.4,1.5,0.254,10,17.6,0.565,4.8,6.7,0.723,4.3,13.1,17.4,7,1.1,0.7,3.8,4.4,25.9,,115,106
425,Luka Šamanić\samanlu01,PF,20,SAS,1,0,12,0,16,0,0,8,0,0,8,0,0,0,,0,8,8,12,0,0,0,0,0,,43,118
426,JaKarr Sampson\sampsja02,SF,26,IND,26,10,340,6.9,11.6,0.593,0.3,1.9,0.154,6.6,9.7,0.676,1.6,2.9,0.55,2.1,6.3,8.5,1.3,1.3,1.3,1,6.2,15.6,,119,109
427,Dario Šarić\saricda01,PF,25,PHO,58,50,1441,7.1,15.4,0.462,2.4,7,0.341,4.7,8.4,0.563,2.6,3.1,0.832,2.9,8.4,11.3,3.6,1.1,0.5,2.4,4.3,19.3,,112,112
428,Tomáš Satoranský\satorto01,PG,28,CHI,65,64,1878,6.1,14.1,0.43,1.6,5.1,0.322,4.4,9,0.491,2.7,3.1,0.876,1.9,4.6,6.5,9.1,2.1,0.2,3.3,3.5,16.5,,111,112
429,Admiral Schofield\schofad01,SF,22,WAS,27,2,293,4.8,11.9,0.4,2.2,7.5,0.298,2.5,4.5,0.571,1.4,2.1,0.692,1,4.5,5.4,2.2,1.3,0.5,1.1,6.5,13.2,,105,118
430,Dennis Schröder\schrode01,PG,26,OKC,63,1,1952,11,23.6,0.468,3,8,0.381,8,15.6,0.512,4.8,5.7,0.839,0.5,5.3,5.8,6.4,1.1,0.3,4,3.4,29.9,,108,112
431,Mike Scott\scottmi01,PF,31,PHI,63,10,1119,5.6,13.9,0.408,3.2,8.9,0.358,2.5,5,0.496,1.1,1.3,0.833,2.5,7.3,9.8,2.1,0.8,0.2,1,3.7,15.5,,113,111
432,Thabo Sefolosha\sefolth01,PF,35,HOU,41,0,436,3.9,9.7,0.407,1.6,5.8,0.278,2.3,3.9,0.595,0.3,0.9,0.375,2.2,7.7,9.9,2.7,2.6,1.3,1.6,4.6,9.8,,104,107
433,Collin Sexton\sextoco01,SG,21,CLE,65,65,2143,11.6,24.7,0.472,2.2,5.8,0.38,9.4,18.9,0.501,5.1,6.1,0.846,1.4,3.2,4.6,4.4,1.5,0.2,3.6,3.2,30.6,,108,118
434,Landry Shamet\shamela01,SG,22,LAC,47,27,1294,5.3,12.8,0.416,3.8,9.8,0.392,1.5,3,0.494,2.1,2.3,0.905,0.2,3.1,3.3,3.2,0.7,0.3,1.3,4.7,16.5,,119,112
435,Marial Shayok\shayoma01,SG,24,PHI,2,0,10,4.9,24.3,0.2,4.9,14.6,0.333,0,9.7,0,0,0,,0,14.6,14.6,4.9,0,0,4.9,0,14.6,,61,110
436,Iman Shumpert\shumpim01,SG,29,BRK,13,0,241,4.1,12.6,0.328,1.6,6.5,0.242,2.6,6.1,0.419,0.8,1.4,0.571,1.8,4.9,6.7,2.4,2.4,0.4,2,4.1,10.6,,85,109
437,Pascal Siakam\siakapa01,PF,25,TOR,53,53,1882,11.6,25.4,0.459,2.9,8.1,0.359,8.7,17.2,0.506,5.6,7,0.8,1.4,8.7,10.1,4.8,1.3,1.2,3.3,3.8,31.8,,108,105
438,Chris Silva\silvach01,PF,23,MIA,41,0,307,6.9,11,0.623,0,0.3,0,6.9,10.7,0.642,5.4,7.8,0.694,8.6,8.8,17.4,3.3,1.4,2.9,4.9,12.7,19.1,,120,106
439,Ben Simmons\simmobe01,PG,23,PHI,54,54,1930,9.1,15.5,0.585,0.1,0.2,0.333,9,15.4,0.588,4.5,7.1,0.627,2.7,7.9,10.6,11.1,2.9,0.8,4.8,4.4,22.7,,116,105
440,Anfernee Simons\simonan01,SG,20,POR,65,4,1400,7.2,17.9,0.402,2.5,7.5,0.338,4.7,10.4,0.448,2.6,3.1,0.826,0.9,4.2,5,3.2,0.9,0.3,2.1,4.5,19.5,,102,118
441,Alen Smailagić\smailal01,PF,19,GSW,14,0,139,6.9,13.8,0.5,1,4.5,0.231,5.9,9.3,0.63,5.5,6.5,0.842,3.4,5.9,9.3,4.5,1,1.4,3.8,4.8,20.3,,112,115
442,Marcus Smart\smartma01,SG,25,BOS,53,39,1721,6.7,17.8,0.38,3.6,10.3,0.348,3.1,7.4,0.424,3,3.6,0.835,1.1,4.6,5.7,7.2,2.4,0.8,2.5,4,20.1,,110,107
443,Dennis Smith Jr.\smithde03,PG,22,NYK,34,3,537,6.5,19.1,0.341,1.5,4.9,0.296,5.1,14.2,0.357,2.4,4.8,0.509,1.9,5.2,7.1,8.9,2.5,0.7,5.3,5.9,17,,84,112
444,Ish Smith\smithis01,PG,31,WAS,60,19,1570,7.8,17.3,0.451,1.6,4.5,0.367,6.2,12.8,0.48,1.4,2.1,0.686,0.8,4.8,5.6,8.5,1.5,0.7,2.3,2.5,18.6,,109,117
445,Zhaire Smith\smithzh01,SG,20,PHI,7,0,32,4.6,16.7,0.273,0,4.6,0,4.6,12.1,0.375,3,6.1,0.5,0,3,3,3,4.6,0,3,6.1,12.1,,65,105
446,Tony Snell\snellto01,SF,28,DET,59,57,1641,5.1,11.5,0.445,3.1,7.6,0.402,2,3.8,0.531,1,1,1,0.3,3.1,3.3,3.8,1,0.4,0.9,3,14.2,,121,117
447,Omari Spellman\spellom01,PF,22,GSW,49,3,886,6.9,15.9,0.431,2.3,5.9,0.391,4.5,10,0.454,3.9,5,0.793,4.2,7.7,11.8,2.5,1.8,1.3,2.9,3.4,20,,107,112
448,Max Strus\strusma01,SG,23,CHI,2,0,6,16.1,24.1,0.667,0,8,0,16.1,16.1,1,8,8,1,8,0,8,0,0,0,0,8,40.1,,153,119
449,Edmond Sumner\sumneed01,PG,24,IND,25,2,345,6.6,15.7,0.423,1.4,5.4,0.263,5.2,10.3,0.507,1.4,2.1,0.667,1.4,3.8,5.2,5.5,2.1,1.1,2.7,4.9,16.1,,98,109
450,Caleb Swanigan\swanica01,PF,22,TOT,27,1,288,4.6,7.8,0.596,0,0.3,0,4.6,7.5,0.622,1.5,2.8,0.529,4.5,12.1,16.6,5.1,0.5,1.2,6.1,10.3,10.8,,94,112
451,Jayson Tatum\tatumja01,PF,21,BOS,59,59,2043,11.8,26.3,0.448,4,9.9,0.398,7.9,16.4,0.479,5.3,6.6,0.806,1.3,8.5,9.9,4.1,2,1.3,3.1,2.9,32.9,,110,105
452,Jeff Teague\teaguje01,PG,31,TOT,59,17,1464,6.8,15.5,0.436,1.4,3.7,0.368,5.4,11.8,0.457,5.5,6.3,0.873,0.9,3.7,4.5,9.8,1.4,0.6,3.7,3.4,20.4,,112,116
453,Garrett Temple\templga01,SG,33,BRK,55,31,1547,6.1,16.1,0.378,3.4,10.6,0.324,2.6,5.5,0.483,1.7,2.2,0.767,0.9,5,5.8,4.3,1.3,0.8,1.7,2.9,17.3,,105,110
454,Daniel Theis\theisda01,C,27,BOS,58,57,1382,7.6,13.4,0.565,0.9,2.8,0.321,6.6,10.5,0.631,2.8,3.7,0.764,4.5,8.7,13.3,3.3,1.2,2.6,1.7,7,18.9,,130,105
455,Isaiah Thomas\thomais02,PG,30,WAS,40,37,925,8.8,21.5,0.408,3.9,9.5,0.413,4.8,12,0.405,3.1,3.8,0.816,0.6,2.9,3.4,7.4,0.7,0.3,3.9,3.9,24.6,,103,121
456,Khyri Thomas\thomakh01,SG,23,DET,8,0,61,4,13.7,0.294,4,11.3,0.357,0,2.4,0,1.6,3.2,0.5,0.8,0,0.8,2.4,2.4,0,2.4,7.3,13.7,,88,116
457,Matt Thomas\thomama02,SG,25,TOR,33,0,321,8,16.5,0.486,5.2,11.1,0.467,2.8,5.4,0.528,1,1.5,0.7,1,6.1,7.1,2.5,1.2,0,1.8,4.6,22.3,,119,108
458,Tristan Thompson\thomptr01,C,28,CLE,57,51,1721,8.1,15.9,0.512,0.3,0.7,0.391,7.9,15.2,0.518,2.8,4.6,0.615,6.4,9.9,16.3,3.4,0.9,1.4,2.9,3.5,19.3,,112,114
459,Matisse Thybulle\thybuma01,SG,22,PHI,57,13,1110,4.2,10.2,0.41,2.2,6.2,0.352,2,4,0.5,1.1,1.8,0.61,1.5,2.2,3.8,3.1,3.5,1.8,2,5.3,11.7,,103,105
460,Anthony Tolliver\tollian01,PF,34,TOT,47,9,732,3.5,10.1,0.348,2.5,7.9,0.322,1,2.2,0.441,1.2,1.6,0.72,2,6.7,8.7,2.1,1,0.7,2,4.2,10.7,,100,115
461,Juan Toscano-Anderson\toscaju01,SF,26,GSW,13,6,272,5.1,11.1,0.46,1.4,4,0.348,3.7,7,0.525,0.5,0.9,0.6,1.6,7.6,9.1,4.6,2.3,0.9,2.8,5.3,12.1,,98,112
462,Karl-Anthony Towns\townska01,C,24,MIN,35,35,1187,12.4,24.3,0.508,4.5,10.8,0.412,7.9,13.5,0.586,7,8.8,0.796,3.7,11.1,14.8,6,1.3,1.6,4.3,4.6,36.2,,121,110
463,Gary Trent Jr.\trentga02,SG,21,POR,53,8,1059,6.7,15.8,0.426,3.5,9,0.388,3.2,6.7,0.477,1.4,1.6,0.833,0.9,3.1,4,2.3,1.8,0.6,0.9,3.1,18.3,,115,116
464,Allonzo Trier\trieral01,PG,24,NYK,24,1,291,8.5,17.7,0.481,3.2,8.9,0.358,5.4,8.9,0.604,5.7,7.2,0.791,1,3.8,4.9,4.7,0.5,0.7,3.7,4.9,25.9,,115,118
465,P.J. Tucker\tuckepj01,PF,34,HOU,64,64,2203,3.4,7.9,0.433,2,5.4,0.37,1.4,2.5,0.573,0.8,0.9,0.841,2.2,7.1,9.3,2.1,1.5,0.7,1.4,4.4,9.6,,117,111
466,Rayjon Tucker\tuckera01,SG,22,UTA,14,0,78,5,11.9,0.421,0,3.8,0,5,8.1,0.615,1.9,3.1,0.6,1.3,6.9,8.1,1.3,0.6,0,1.9,4.4,11.9,,88,112
467,Evan Turner\turneev01,PG,31,ATL,19,0,251,4.6,12.4,0.373,0,0.9,0,4.6,11.5,0.403,2.2,2.6,0.857,1.5,5.6,7.1,7.1,1.7,1.5,4.8,3.7,11.5,,84,115
468,Myles Turner\turnemy01,C,23,IND,55,55,1628,7,15.5,0.451,2.3,6.9,0.336,4.7,8.6,0.542,3.2,4.3,0.75,2.1,8.7,10.8,1.8,1.3,3.6,2,4.1,19.5,,108,105
469,Jarrod Uthoff\uthofja01,SF,26,MEM,4,0,14,3.3,23.3,0.143,0,13.3,0,3.3,10,0.333,6.7,6.7,1,3.3,0,3.3,0,3.3,0,0,3.3,13.3,,67,112
470,Jonas Valančiūnas\valanjo01,C,27,MEM,62,62,1630,11,18.8,0.586,0.8,2.3,0.367,10.2,16.6,0.616,3.5,4.8,0.732,5.4,14.5,19.9,3.1,0.7,2,3.1,4.6,26.4,,120,107
471,Denzel Valentine\valende01,SF,26,CHI,36,5,488,9.6,23.4,0.409,4.5,13.5,0.336,5,9.9,0.51,0.6,0.8,0.75,0.9,6.4,7.3,4.2,2.6,0.6,2.6,5,24.3,,100,109
472,Jarred Vanderbilt\vandeja01,SF-PF,20,TOT,11,0,46,5.3,8.5,0.625,0,1.1,0,5.3,7.5,0.714,2.1,2.1,1,3.2,6.4,9.6,2.1,3.2,1.1,7.5,6.4,12.8,,81,107
473,Fred VanVleet\vanvlfr01,PG,25,TOR,48,48,1719,8,19.5,0.409,3.6,9.4,0.388,4.3,10.1,0.43,3.9,4.6,0.843,0.5,4.5,5,8.8,2.5,0.4,3.1,3.3,23.5,,111,106
474,Gabe Vincent\vincega01,PG,23,MIA,6,0,42,4.7,22.1,0.211,4.7,18.6,0.25,0,3.5,0,0,0,,0,3.5,3.5,3.5,1.2,0,0,2.3,14,,75,114
475,Noah Vonleh\vonleno01,C-PF,24,TOT,33,1,364,6.4,11.4,0.562,0.4,1.9,0.2,6,9.5,0.635,3.1,3.8,0.8,4.7,11,15.7,3.5,1.4,0.8,2.7,4.9,16.2,,120,111
476,Nikola Vučević\vucevni01,C,29,ORL,54,54,1763,11.8,25.2,0.47,2.3,6.9,0.329,9.6,18.3,0.523,3.2,4,0.781,3.6,12.9,16.5,5.6,1.3,1.3,2.1,3.3,29.1,,113,107
477,Dean Wade\wadede01,PF,23,CLE,12,0,71,6.2,8.9,0.692,1.4,2.7,0.5,4.8,6.2,0.778,0,0.7,0,2.1,11,13,1.4,1.4,2.7,2.1,5.5,13.7,,122,111
478,Moritz Wagner\wagnemo01,C,22,WAS,37,5,707,8.6,15.1,0.575,1.5,4.4,0.343,7.1,10.6,0.671,4.4,5.4,0.817,3.4,9.3,12.7,3.2,1.5,1.1,3.6,8.8,23.2,,119,114
479,Dion Waiters\waitedi01,SG,28,MIA,3,0,42,11.6,30.3,0.385,9.3,19.8,0.471,2.3,10.5,0.222,0,1.2,0,0,12.8,12.8,3.5,0,2.3,3.5,5.8,32.6,,93,108
480,Kemba Walker\walkeke02,PG,29,BOS,50,50,1592,10.6,25.3,0.421,5,13.3,0.377,5.6,12,0.47,5.9,6.8,0.867,1,5.2,6.2,7.5,1.4,0.8,3.3,2.3,32.2,,115,109
481,Lonnie Walker\walkelo01,SG,21,SAS,53,4,767,7.3,16.7,0.434,1.8,4.4,0.408,5.4,12.3,0.444,2.4,3.3,0.717,1.3,5.9,7.2,2.9,1.8,0.8,1.9,4.4,18.7,,101,114
482,Tyrone Wallace\wallaty01,SG,25,ATL,14,0,160,4.1,12.8,0.318,0.3,4.4,0.067,3.8,8.4,0.448,3.2,5,0.647,0.9,5.5,6.4,3.8,2,0.3,2.9,5.5,11.6,,80,115
483,Taurean Prince\princta02,SF,25,BRK,64,61,1857,7.1,18.9,0.376,3.7,11,0.339,3.4,7.9,0.429,1.8,2.3,0.798,1.3,8.5,9.7,3,1.5,0.6,3.2,4.1,19.8,,94,108
484,Derrick Walton\waltode01,PG,24,TOT,26,1,248,3.4,7.4,0.462,1.9,4.6,0.417,1.5,2.9,0.533,1.3,1.7,0.778,0.4,2.7,3.1,5.2,1.3,0,1,4,10.1,,131,112
485,Brad Wanamaker\wanambr01,PG,30,BOS,63,1,1215,5.4,12.7,0.428,1.3,3.6,0.367,4.1,9.1,0.452,4.3,4.6,0.931,0.8,4.2,4.9,6.3,2.1,0.5,2.8,4.8,16.4,,112,108
486,T.J. Warren\warretj01,SF,26,IND,61,61,1984,11.3,21.3,0.529,1.7,4.5,0.375,9.6,16.8,0.571,3.7,4.6,0.812,1.5,4.4,5.9,2.1,1.7,0.7,1.9,4.2,28,,115,110
487,P.J. Washington\washipj01,PF,21,CHO,58,57,1759,7.6,16.8,0.455,2.4,6.6,0.374,5.2,10.2,0.507,2.5,3.9,0.647,1.7,7.3,9,3.5,1.5,1.3,2.6,4.5,20.2,,105,112
488,Yuta Watanabe\watanyu01,SG,25,MEM,16,0,99,5.7,13.7,0.414,1.4,3.8,0.375,4.2,9.9,0.429,1.4,3.8,0.375,2.8,5.2,8,1.9,2.4,0.5,0.9,4.2,14.2,,101,111
489,Tremont Waters\watertr01,PG,22,BOS,10,0,89,6.5,19,0.343,1.6,9.2,0.176,4.9,9.8,0.5,3.3,3.3,1,0,4.9,4.9,6.5,2.7,1.1,5.4,6,17.9,,83,106
490,Paul Watson\watsopa01,SF-SG,25,TOT,5,0,25,0,15,0,0,7.5,0,0,7.5,0,1.9,3.8,0.5,0,7.5,7.5,9.4,1.9,1.9,0,1.9,1.9,,46,110
491,Quinndary Weatherspoon\weathqu01,SG,23,SAS,3,0,15,0,9.6,0,0,3.2,0,0,6.4,0,0,0,,0,3.2,3.2,3.2,0,0,0,0,0,,21,121
492,Russell Westbrook\westbru01,PG,31,HOU,53,53,1905,13.9,29.2,0.474,1.2,4.9,0.254,12.6,24.3,0.518,6.6,8.4,0.777,2.3,8.1,10.4,9,2.1,0.4,5.8,4.6,35.5,,107,109
493,Coby White\whiteco01,SG,19,CHI,65,1,1674,9,22.8,0.394,3.8,10.8,0.354,5.2,12,0.43,2.9,3.7,0.791,0.8,5.8,6.6,5,1.4,0.2,3.1,3.4,24.7,,100,112
494,Derrick White\whitede01,SG,25,SAS,61,13,1468,7,15.2,0.459,1.9,5.2,0.356,5.1,9.9,0.513,4.9,5.7,0.857,1,5.3,6.3,6.7,1.3,1.8,2.5,4.4,20.7,,117,114
495,Hassan Whiteside\whiteha01,C,30,POR,61,61,1911,10.4,16.9,0.618,0.1,0.2,0.571,10.3,16.7,0.619,3.8,5.6,0.68,6.1,15.6,21.7,1.8,0.6,4.7,2.9,4.5,24.8,,124,106
496,Andrew Wiggins\wiggian01,SF-SG,24,TOT,54,54,1858,11,24.6,0.447,2.8,8.4,0.332,8.2,16.2,0.506,4.8,6.7,0.709,1.7,5.2,6.9,5,1.1,1.3,3.3,3.2,29.6,,105,114
497,Grant Williams\willigr01,PF,21,BOS,62,5,970,4,9.6,0.417,1,4.2,0.247,2.9,5.3,0.551,1.8,2.5,0.725,2.9,5.3,8.2,3.1,1.4,1.6,2.3,7.4,10.9,,105,108
498,Johnathan Williams\willijo04,C,24,WAS,11,5,135,5.5,8.6,0.64,0,0.7,0,5.5,8,0.696,1,1.7,0.6,5.2,9.7,14.9,2.1,0.3,2.1,1.4,3.8,12.1,,132,115
499,Kenrich Williams\willike04,PF,25,NOP,35,18,779,2.9,8.5,0.343,1.5,5.7,0.26,1.4,2.8,0.511,0.5,1.4,0.375,2.9,7.7,10.6,3.1,1.5,1.2,1.2,4.8,7.8,,103,111
500,Lou Williams\willilo02,SG,33,LAC,60,8,1757,9.8,23.7,0.416,2.9,7.9,0.363,7,15.8,0.442,7.5,8.6,0.863,0.8,4.2,5,9.2,1.1,0.3,4.6,2.1,30,,109,111
501,Marvin Williams\willima02,PF,33,TOT,52,1,1011,5.3,12.1,0.442,2.5,7,0.361,2.8,5.1,0.552,2.3,2.6,0.87,1,6.2,7.2,2.7,1.7,1.3,1.4,4.6,15.5,,116,110
502,Robert Williams\williro04,C,22,BOS,23,1,323,6.3,9.3,0.677,0,0,,6.3,9.3,0.677,2.1,3.7,0.56,5.1,11.1,16.2,3.3,3,4.2,3,6,14.7,,123,98
503,Nigel Williams-Goss\willini01,PG,25,UTA,9,0,28,1.7,12.2,0.143,0,3.5,0,1.7,8.7,0.2,3.5,3.5,1,3.5,5.2,8.7,8.7,1.7,1.7,3.5,3.5,7,,80,108
504,Zion Williamson\willizi01,PF,19,NOP,19,19,565,14.1,23.9,0.589,0.5,1.1,0.462,13.6,22.8,0.595,8,12.4,0.645,4.5,6.1,10.5,3.4,1.3,0.7,4.2,2.6,36.6,,116,113
505,D.J. Wilson\wilsodj01,PF,23,MIL,31,0,280,6.5,16.5,0.396,2.3,9,0.255,4.2,7.5,0.565,1,1.5,0.667,1.6,9.5,11.1,3.6,0.3,0.8,2.4,4.2,16.3,,95,104
506,Justise Winslow\winslju01,SF,23,MIA,11,5,352,6.9,17.9,0.388,0.8,3.8,0.222,6.1,14.2,0.431,2.5,3.8,0.667,2.2,7.9,10.1,6.1,1,0.7,3.3,5.3,17.2,,93,111
507,Christian Wood\woodch01,PF,24,DET,62,12,1325,10.7,18.9,0.567,2,5.2,0.386,8.7,13.7,0.636,6.7,9,0.744,3.9,10.6,14.5,2.2,1.3,2,3.1,3.6,30.1,,123,110
508,Delon Wright\wrighde01,SG,27,DAL,65,5,1412,6.1,13.1,0.47,1.5,4,0.385,4.6,9.1,0.508,2.4,3.1,0.789,2.3,6.6,8.9,7.5,2.6,0.7,2.3,2.8,16.3,,121,109
509,Justin Wright-Foreman\wrighju02,PG,22,UTA,1,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,,117
510,Thaddeus Young\youngth01,PF,31,CHI,64,16,1591,8.1,18.2,0.448,2.4,6.7,0.356,5.8,11.5,0.501,1.3,2.2,0.583,2.8,6.7,9.5,3.5,2.8,0.7,3.1,4.1,20,,101,108
511,Trae Young\youngtr01,PG,21,ATL,60,60,2120,12,27.5,0.437,4.5,12.5,0.361,7.5,15,0.501,10.6,12.3,0.86,0.7,4.9,5.6,12.3,1.4,0.2,6.4,2.3,39.1,,114,117
512,Cody Zeller\zelleco01,C,27,CHO,58,39,1341,9.4,17.9,0.524,0.7,2.8,0.24,8.7,15.1,0.577,4.6,6.7,0.682,6,9.4,15.4,3.3,1.5,0.9,2.8,5.2,24,,116,111
513,Ante Žižić\zizican01,C,23,CLE,22,0,221,9,15.9,0.569,0,0,,9,15.9,0.569,3.1,4.2,0.737,4,10.6,14.5,1.3,1.5,1.1,2.2,5.9,21.1,,116,113
514,Ivica Zubac\zubaciv01,C,22,LAC,64,62,1156,8.2,13.7,0.601,0,0.1,0,8.2,13.6,0.605,4.4,5.8,0.759,6.8,12,18.8,2.8,0.5,2.4,2.2,6,20.8,,132,104
