team1_name,home,won,count,overall_wp,diff
Atlanta Hawks,N,0.4132420091324201,438,0.507411630558723,-0.09416962142630286
Boston Celtics,N,0.4966292134831461,445,0.5743243243243243,-0.07769511084117825
Brooklyn Nets,N,0.3211009174311927,436,0.3816091954022989,-0.060508277971106195
Charlotte Hornets,N,0.32339449541284404,436,0.4188722669735328,-0.09547777156068876
Chicago Bulls,N,0.4462242562929062,437,0.5165336374002281,-0.07030938110732188
Cleveland Cavaliers,N,0.38979118329466356,431,0.4695752009184845,-0.07978401762382092
Dallas Mavericks,N,0.459954233409611,437,0.5257142857142857,-0.06576005230467469
Denver Nuggets,N,0.4223744292237443,438,0.5518814139110604,-0.12950698468731608
Detroit Pistons,N,0.30344827586206896,435,0.4057471264367816,-0.10229885057471266
Golden State Warriors,N,0.5253456221198156,434,0.5981630309988519,-0.07281740887903632
Houston Rockets,N,0.5207373271889401,434,0.6082949308755761,-0.08755760368663601
Indiana Pacers,N,0.4298642533936652,442,0.5476190476190477,-0.11775479422538249
Los Angeles Clippers,N,0.48863636363636365,440,0.5824800910125142,-0.09384372737615054
Los Angeles Lakers,N,0.39545454545454545,440,0.47440273037542663,-0.07894818492088118
Memphis Grizzlies,N,0.4279176201372998,437,0.5285388127853882,-0.10062119264808839
Miami Heat,N,0.5213483146067416,445,0.602017937219731,-0.08066962261298938
Milwaukee Bucks,N,0.4243119266055046,436,0.5040276179516686,-0.07971569134616402
Minnesota Timberwolves,N,0.28110599078341014,434,0.35368663594470046,-0.07258064516129031
New Orleans Pelicans,N,0.35944700460829493,434,0.4412442396313364,-0.08179723502304148
New York Knicks,N,0.3333333333333333,438,0.3961187214611872,-0.06278538812785389
Oklahoma City Thunder,N,0.5530474040632054,443,0.6396396396396397,-0.08659223557643425
Orlando Magic,N,0.34851936218678814,439,0.43249427917620137,-0.08397491698941323
Philadelphia 76ers,N,0.3160270880361174,443,0.4088335220838052,-0.09280643404768779
Phoenix Suns,N,0.3449074074074074,432,0.4050632911392405,-0.060155883731833115
Portland Trail Blazers,N,0.43119266055045874,436,0.5517241379310345,-0.12053147738057574
Sacramento Kings,N,0.2942528735632184,435,0.3629032258064516,-0.06865035224323324
San Antonio Spurs,N,0.5530474040632054,443,0.6757369614512472,-0.12268955738804177
Toronto Raptors,N,0.4815668202764977,434,0.5579793340987371,-0.0764125138222394
Utah Jazz,N,0.4302059496567506,437,0.5321100917431193,-0.10190414208636872
Washington Wizards,N,0.335632183908046,435,0.43498273878020716,-0.09935055487216116
