,Unnamed: 0,2P,2PA,3P,3PA,Assist%,BLK%,Class,Close2,Close2A,Conference,DR%,Dunk,DunkA,EFG,FT,FTA,Far2,Far2A,Fouls/40,Height,Min%,Name,OR%,ORtg,PlayerID,Role,STL%,School,Season,TO%,TS%,USG,FGA,FG,3p%_eb,ft%_eb,far2p%_eb,3par_eb
27376,3957,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,Sum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-,0.3,Isaiah Duncan,0.0,0.0,27869.0,,0.0,Western Illinois,2013.0,57.6,0.0,29.9,1.0,0.0,0.3381996010349285,0.6789582925555722,0.3484767107882694,0.3259199124035099
27533,4114,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,MVC,23.6,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,-,0.5,Ryan Bonifield,20.1,125.0,28346.0,,0.0,Southern Illinois,2013.0,0.0,52.63,12.0,0.0,0.0,0.3381996010349285,0.6634071720892006,0.3513645762606503,0.46210028487387694
27541,4122,0.0,0.0,0.0,0.0,0.0,0.0,,,,CUSA,0.0,,,0.0,0.0,0.0,0.0,0.0,13.3,-,0.3,Rob King,0.0,0.0,28381.0,,0.0,UCF,2013.0,0.0,0.0,0.0,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
27626,4207,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,NEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,-,0.3,Aaron DeVAN,0.0,0.0,28623.0,,0.0,Mount St. Mary's,2013.0,0.0,0.0,20.6,2.0,0.0,0.3366306330875402,0.6789582925555722,0.3484767107882694,0.4793537168845547
29176,1149,0.0,0.0,0.0,0.0,0.0,0.0,,,,P12,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2,Aaron Dotson,0.0,0.0,13647.0,,0.0,Utah,2012.0,0.0,0.0,0.0,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
30383,2356,0.0,0.0,0.0,0.0,0.0,0.0,,,,BSth,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.1,Georges Massoda,0.0,0.0,18808.0,,0.0,High Point,2012.0,0.0,0.0,0.0,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
31057,3030,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,P12,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0,0.3,Dave Wink,0.0,58.8,20913.0,,0.0,Washington St.,2012.0,0.0,25.64,24.4,1.0,0.0,0.3381996010349285,0.6634071720892006,0.3513645762606503,0.3259199124035099
31127,3100,2.0,3.0,0.0,0.0,0.0,7.5,Fr,2.0,3.0,MEAC,0.0,0.0,0.0,66.7,1.0,2.0,0.0,0.0,2.5,0,1.4,D. Beholm-Tolly,20.4,141.8,21080.0,,0.0,North Carolina A&T,2012.0,0.0,63.29,13.1,3.0,2.0,0.3381996010349285,0.6634071720892006,0.3513645762606503,0.20505878222803273
31507,3480,2.0,3.0,0.0,0.0,16.9,0.0,,1.0,1.0,SWAC,8.9,0.0,0.0,66.7,2.0,4.0,1.0,2.0,3.1,0,2.0,Edward Buford,17.6,92.7,22159.0,,0.0,Arkansas Pine Bluff,2012.0,35.9,61.22,19.3,3.0,2.0,0.3381996010349285,0.6503426906394439,0.35378792784625807,0.20505878222803273
31539,3512,0.0,0.0,0.0,0.0,0.0,0.0,,,,SWAC,30.5,,,0.0,0.0,0.0,0.0,0.0,10.0,0,0.3,J. Pittman,0.0,0.0,22249.0,,0.0,Jackson St.,2012.0,0.0,0.0,0.0,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
31898,3871,0.0,1.0,0.0,1.0,9.7,0.0,,0.0,1.0,CAA,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0,1.2,Shquan Rogers,5.8,33.8,23224.0,,0.0,Old Dominion,2012.0,39.1,0.0,8.6,2.0,0.0,0.3366306330875402,0.6789582925555722,0.3513645762606503,0.4793537168845547
32231,4204,0.0,0.0,0.0,0.0,100.0,0.0,,,,SEC,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.1,Julian Goode,126.5,392.9,26016.0,,0.0,Alabama,2012.0,0.0,0.0,16.3,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
32606,4579,1.0,2.0,0.0,0.0,0.0,0.0,Sr,0.0,0.0,ACC,0.0,0.0,0.0,50.0,0.0,1.0,1.0,2.0,3.6,5-11,0.8,Jon Dillard,0.0,83.1,52488.0,,0.0,Maryland,2012.0,0.0,40.4,10.2,2.0,1.0,0.3381996010349285,0.6481182596389087,0.35378792784625807,0.2517341694385968
33908,1295,1.0,1.0,0.0,0.0,0.0,0.0,Jr,,,CUSA,0.0,,,100.0,0.0,0.0,0.0,0.0,0.0,6-6,0.0,DeAndre Dishman,0.0,200.0,45840.0,,0.0,Middle Tennessee,2019.0,0.0,100.0,20.0,1.0,1.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.3259199124035099
37351,4738,1.0,1.0,0.0,0.0,0.0,0.0,Fr,0.0,0.0,BW,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,0.0,,0.0,Sammy Jones,0.0,203.2,68395.0,,0.0,Cal St. Fullerton,2019.0,0.0,101.69,20.0,1.0,1.0,0.3381996010349285,0.6935408330941688,0.3566957108454597,0.3259199124035099
39752,2399,0.0,1.0,0.0,1.0,0.0,12.7,,0.0,1.0,MAAC,9.4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.3,-,1.6,Kristian Duravcevic,15.8,41.8,32610.0,,5.1,Iona,2015.0,21.2,0.0,12.0,2.0,0.0,0.3366306330875402,0.5941432305717288,0.3513645762606503,0.4793537168845547
40443,3090,0.0,0.0,0.0,0.0,0.0,0.0,,,,SC,0.0,,,0.0,0.0,0.0,0.0,0.0,20.0,-,0.2,Dexter Jenkins,0.0,0.0,34834.0,,0.0,Western Carolina,2015.0,100.0,0.0,29.9,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
40919,3566,0.0,1.0,0.0,2.0,8.2,0.0,,1.0,2.0,SC,35.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.4,-,1.7,T Mason,14.6,50.5,36224.0,,5.5,VMI,2015.0,26.1,0.0,10.5,3.0,0.0,0.3350761553587575,0.6789582925555722,0.34563592906749663,0.5758895464000705
40981,3628,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,ACC,45.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,-,0.4,D. Akintobi-Adeyeye,22.4,13.2,36409.0,,0.0,Syracuse,2015.0,52.1,0.0,46.1,1.0,0.0,0.3381996010349285,0.6199581643782494,0.3484767107882694,0.3259199124035099
40997,3644,0.0,0.0,0.0,0.0,0.0,0.0,,,,AE,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-,0.4,Josh Olabosipo,0.0,0.0,36471.0,,0.0,UMBC,2015.0,100.0,0.0,12.3,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
41532,4179,0.0,0.0,0.0,0.0,0.0,0.0,,,,SWAC,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-,0.2,Trey Scott,0.0,0.0,38061.0,,0.0,Alabama St.,2015.0,100.0,0.0,28.7,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
41533,4180,0.0,4.0,0.0,0.0,0.0,3.8,,0.0,3.0,BSky,13.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.4,-,4.8,Bradley Fisher,2.0,9.9,38062.0,,0.0,Montana St.,2015.0,40.2,0.0,5.4,4.0,0.0,0.3381996010349285,0.6789582925555722,0.3484767107882694,0.17298474891323182
41572,4219,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,MVC,64.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-,0.1,Jay Jay Elvir,0.0,0.0,38152.0,,0.0,Loyola Chicago,2015.0,0.0,0.0,23.1,1.0,0.0,0.3381996010349285,0.6789582925555722,0.3484767107882694,0.3259199124035099
43137,1060,0.0,0.0,1.0,1.0,0.0,0.0,,,,BE,0.0,,,150.0,0.0,0.0,0.0,0.0,0.0,,0.0,Myke Henry,0.0,300.0,21626.0,,0.0,DePaul,2014.0,0.0,150.0,20.0,1.0,1.0,0.3412698104922062,0.6789582925555722,0.3513645762606503,0.6206186540576842
45071,2994,0.0,0.0,0.0,0.0,0.0,0.0,,,,CAA,0.0,,,0.0,0.0,0.0,0.0,0.0,6.7,-,0.4,Jonah Meredith,0.0,0.0,29683.0,,0.0,Towson,2014.0,0.0,0.0,0.0,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
45145,3068,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,P12,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.7,-,0.5,Connor Smith,16.7,202.5,29865.0,,0.0,Washington,2014.0,0.0,100.0,7.5,1.0,1.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.3259199124035099
45242,3165,0.0,0.0,0.0,0.0,90.7,0.0,,,,SEC,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-,0.2,Rob Cross,122.5,306.4,30152.0,,0.0,Vanderbilt,2014.0,0.0,0.0,15.9,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
